category,process,processid,sourceip,destinationip,destinationport,source_file,source_dir,line_number,subnet,organization,country,asn,description
network_existing,python.exe,8280,192.168.1.48,44.198.34.118,443,network_920_2025-12-27_15-40.log,tmp,4,44.198.34.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,sublime_text.exe,11864,192.168.1.48,23.33.253.54,80,network_920_2025-12-27_15-40.log,tmp,455,23.33.253.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,sublime_text.exe,11864,192.168.1.48,104.18.21.213,80,network_920_2025-12-27_15-40.log,tmp,456,104.18.21.0/24,Microsoft Corporation,US,AS8075,Microsoft Azure
network_connection,devenv.exe,11244,192.168.1.48,40.70.147.9,443,network_386_2025-12-28_07-52.log,tmp,542,40.70.147.0/24,Microsoft Corporation,US,AS8075,Microsoft Azure
network_connection,devenv.exe,2140,192.168.1.48,23.209.72.136,443,network_304_2025-12-28_08-50.log,ready,563,23.209.72.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,1016,192.168.1.48,44.205.50.24,443,network_304_2025-12-28_08-50.log,ready,1114,44.205.50.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,1016,192.168.1.48,98.87.92.239,443,network_304_2025-12-28_08-50.log,ready,1115,98.87.92.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.51.120.98,443,network_304_2025-12-28_08-50.log,ready,1116,100.51.120.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,104.18.18.125,443,network_304_2025-12-28_08-50.log,ready,1126,104.18.18.0/24,Microsoft Corporation,US,AS8075,Microsoft Azure
network_connection,Cursor.exe,11072,192.168.1.48,35.71.162.24,443,network_304_2025-12-28_08-50.log,ready,1196,35.71.162.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,13.216.203.243,443,network_304_2025-12-28_08-50.log,ready,1258,13.216.203.0/24,Microsoft Corporation,US,AS8075,Microsoft Azure
network_connection,GitHubDesktop.exe,11768,192.168.1.48,140.82.113.26,443,network_304_2025-12-28_08-50.log,ready,1278,140.82.113.0/24,"GitHub, Inc.",US,AS36459,GitHub Services
network_connection,GitHubDesktop.exe,11768,192.168.1.48,185.199.108.133,443,network_304_2025-12-28_08-50.log,ready,1290,185.199.108.0/24,"GitHub, Inc.",US,AS36459,GitHub Services
network_connection,Cursor.exe,11072,192.168.1.48,34.200.101.180,443,network_304_2025-12-28_08-50.log,ready,1328,34.200.101.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.52.79.6,443,network_304_2025-12-28_08-50.log,ready,1368,100.52.79.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,3.220.28.60,443,network_304_2025-12-28_08-50.log,ready,1428,3.220.28.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.51.176.231,443,network_304_2025-12-28_08-50.log,ready,1445,100.51.176.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.50.164.128,443,network_304_2025-12-28_08-50.log,ready,1459,100.50.164.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,52.2.40.148,443,network_304_2025-12-28_08-50.log,ready,1522,52.2.40.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,44.205.76.5,443,network_304_2025-12-28_08-50.log,ready,1548,44.205.76.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,18.215.160.32,443,network_304_2025-12-28_08-50.log,ready,1574,18.215.160.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,34.195.213.181,443,network_304_2025-12-28_08-50.log,ready,1614,34.195.213.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.50.212.73,443,network_304_2025-12-28_08-50.log,ready,1656,100.50.212.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.52.102.154,443,network_304_2025-12-28_08-50.log,ready,1671,100.52.102.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.52.127.51,443,network_304_2025-12-28_08-50.log,ready,1686,100.52.127.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,52.206.125.131,443,network_304_2025-12-28_08-50.log,ready,1722,52.206.125.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,3.228.165.35,443,network_304_2025-12-28_08-50.log,ready,1729,3.228.165.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,34.203.39.133,443,network_304_2025-12-28_08-50.log,ready,1738,34.203.39.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,35.173.28.245,443,network_304_2025-12-28_08-50.log,ready,1751,35.173.28.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,44.194.137.253,443,network_304_2025-12-28_08-50.log,ready,1766,44.194.137.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,54.152.166.76,443,network_304_2025-12-28_08-50.log,ready,1807,54.152.166.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,34.206.8.72,443,network_304_2025-12-28_08-50.log,ready,1847,34.206.8.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,44.219.131.80,443,network_304_2025-12-28_08-50.log,ready,1859,44.219.131.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.52.43.1,443,network_304_2025-12-28_08-50.log,ready,1861,100.52.43.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,34.233.109.35,443,network_304_2025-12-28_08-50.log,ready,1885,34.233.109.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,3.214.93.161,443,network_304_2025-12-28_08-50.log,ready,1909,3.214.93.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.52.131.34,443,network_304_2025-12-28_08-50.log,ready,1935,100.52.131.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,13.217.125.230,443,network_304_2025-12-28_08-50.log,ready,1964,13.217.125.0/24,Microsoft Corporation,US,AS8075,Microsoft Azure
network_connection,Cursor.exe,11072,192.168.1.48,98.89.94.234,443,network_304_2025-12-28_08-50.log,ready,1976,98.89.94.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,98.90.151.46,443,network_304_2025-12-28_08-50.log,ready,1992,98.90.151.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.51.13.118,443,network_304_2025-12-28_08-50.log,ready,2003,100.51.13.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
